Y_Pixel,X_Pixel,Resolution_Type,Brand,Display size (cm),Display size (inch),model_name,launch_year,smart_tv,os,usb_count,hdmi_count,screen_type,Price
720,1280,HD Ready,ZEBRONICS,80.0,32,Zeb-32P1,2023,Yes,Android Based,2,2,LED,10999
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,QA55QN85CAKLXL,2023,Yes,Tizen,2,4,QLED,99990
2160,3840,Ultra HD (4K),SAMSUNG,163.0,65,(UA65AU8000,2021,Yes,Tizen,2,3,LED,69990
2160,3840,Ultra HD (4K),BITPRO,152.0,60,BP60TVAMH60,2023,Yes,Android,2,3,LED,29990
720,1280,HD Ready,Haier,80.0,32,LE32W400G,2023,Yes,Google TV,2,3,LED,19990
720,1280,HD Ready,XElectron,60.0,24,24STV,2023,No,Android,2,1,LED,5499
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,QA55QN95BAKLXL,2022,Yes,Tizen,3,4,QLED,124990
2160,3840,Ultra HD (4K),SAMSUNG,189.0,75,UA75AU7700KXXL,2022,Yes,Tizen,1,3,LED,125990
2160,3840,Ultra HD (4K),SAMSUNG,108.0,43,UN43TU8000FXZA,2020,Yes,Linux,2,3,LED,37990
720,1280,HD Ready,IMPEX,80.0,32,Grande,2019,Yes,Android,2,3,LED,11999
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,QA55Q60BAKLXL,2022,Yes,Tizen,2,3,QLED,71900
720,1280,HD Ready,V-SKY,80.0,32,Smart Android Series (32EK260),2023,Yes,Android,2,1,LED,7999
2160,3840,Ultra HD (4K),SAMSUNG,163.0,65,QA65Q80BAKLXL,2022,Yes,Tizen,2,4,QLED,161915
2160,3840,Ultra HD (4K),CORNEA,127.0,50,50CORFLS05,2022,Yes,Android,2,3,LED,25499
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,QA55Q80BAKLXL,2022,Yes,Tizen,2,4,QLED,84990
720,1280,HD Ready,SONY,80.0,32,KDL-32W6100,2020,Yes,Linux,2,2,LED,28489
2160,3840,Ultra HD (4K),LG,109.0,43,43UQ7300PTA,2023,Yes,WebOS,2,3,LED,34095
1080,1920,Full HD,LG,81.28,32,32LQ636B,2021,Yes,WebOS,2,2,LED,20399
2160,3840,Ultra HD (4K),SONY,108.0,43,KD-43X80K,2022,Yes,Google TV,2,4,LED,59990
2160,3840,Ultra HD (4K),LG,164.0,65,OLED65C2PSC,2022,Yes,WebOS,3,4,OLED,193395
2160,3840,Ultra HD (4K),LIMEBERRY,165.0,65,65MU11SSSB5GV,2023,Yes,Android,2,3,LED,49499
2160,3840,Ultra HD (4K),LG,164.0,65,65NANO80TNA,2020,Yes,WebOS,2,4,LED,99990
720,1280,HD Ready,T-Series,80.0,32,TX80BIS,2019,No,Linux,2,2,LED,11990
2160,3840,Ultra HD (4K),LG,164.0,65,OLED65C2XSC,2022,Yes,WebOS,3,4,OLED,179990
2160,3840,Ultra HD (4K),SONY,139.0,55,KD-55X85J,2021,Yes,Google TV,2,4,LED,84990
2160,3840,Ultra HD (4K),Panasonic,109.0,43,TH-43LX750DX,2022,Yes,Android,2,3,LED,37950
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,QA55QN90BAKLXL,2022,Yes,Tizen,2,4,QLED,114990
1080,1920,Full HD,Lloyd,109.0,43,43FS550C,2021,Yes,Android,2,3,LED,27990
720,1280,HD Ready,Gangnam,80.0,32,LEDATGG32HDEKK,2022,No,Analog,2,2,LED,8099
2160,3840,Ultra HD (4K),LG,165.1,65,OLED65G1PTZ,2021,Yes,WebOS,3,4,OLED,219990
2160,3840,Ultra HD (4K),IMPEX,164.0,65,GRANDE 65 SMART AU00,2022,Yes,Android,2,4,LED,56900
2160,3840,Ultra HD (4K),Panasonic,165.0,65,TH-65LX850DX,2022,Yes,Android,2,3,LED,81540
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,UA55BU8000KLXL,2022,Yes,Tizen,2,3,LED,55990
720,1280,HD Ready,XElectron,80.0,32,32STV,2023,No,Android,2,2,LED,7299
2160,3840,Ultra HD (4K),LG,123.0,49,49NANO80TNA,2020,Yes,WebOS,2,4,LED,54990
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,QA55LS03BAKLXL,2022,Yes,Tizen,2,4,QLED,82890
2160,3840,Ultra HD (4K),SONY,126.0,50,KD-50X80K,2022,Yes,Google TV,2,4,LED,75990
2160,3840,Ultra HD (4K),SAMSUNG,189.0,75,QA75Q60BAKXXL,2022,Yes,Tizen,2,3,QLED,274790
1080,1920,Full HD,Feltron,109.0,43,FT4309SFL,2023,Yes,Android,2,2,LED,24590
2160,3840,Ultra HD (4K),SONY,215.0,85,XR-85X95K,2022,Yes,Android,2,4,LED,513790
2160,3840,Ultra HD (4K),Panasonic,110.0,43,TH-43LX700DX,2022,Yes,Android,2,2,LED,34990
1080,1920,Full HD,Samtonic,104.0,40,ST-4102S,2023,Yes,Android,2,2,LED,14999
2160,3840,Ultra HD (4K),LG,177.0,70,70UQ8040PSB,2022,Yes,WebOS,2,3,LED,93990
2160,3840,Ultra HD (4K),LIMEBERRY,127.0,50,LB50MU11BSNS5GV,2023,Yes,Android,2,3,LED,31899
1080,1920,Full HD,SAMSUNG,108.0,43,UA43T5500AKXXL,2020,Yes,Tizen,1,2,LED,31990
2160,3840,Ultra HD (4K),LIMEBERRY,127.0,50,LB49OU11SSPS5GV,2023,Yes,Android,2,3,OLED,49499
2160,3840,Ultra HD (4K),LG,164.0,65,65NANO86TNA,2020,Yes,WebOS,3,4,LED,88999
1080,1920,Full HD,CORNEA,110.0,43,43CORFLS05,2022,Yes,Android,2,2,LED,16999
2160,3840,Ultra HD (4K),Haier,126.0,50,LE50K7700HQGA,2021,Yes,Android,2,4,LED,37990
2160,3840,Ultra HD (4K),LG,165.1,65,65NANO83TPZ,2021,Yes,WebOS,2,4,LED,114900
720,1280,HD Ready,Aiwa,80.0,32,AS32HDX1-GTV,2022,Yes,Android,2,3,LED,13999
2160,3840,Ultra HD (4K),LG,109.22,43,43UP7750PTZ,2021,Yes,WebOS,1,2,LED,37092
720,1280,HD Ready,Hyundai,80.0,32,SMTHY32HDBE1,2023,Yes,Android Based,2,2,LED,9999
4320,7680,Ultra HD (8K),LG,165.1,65,65NANO95TNA,2021,Yes,WebOS,3,4,LED,179990
1080,1920,Full HD,AYKON,81.0,32,AK3236C,2023,Yes,Android Based,2,2,LED,9499
2160,3840,Ultra HD (4K),ONIDA,43.0,107,43UIG-R,2023,Yes,FireOS,2,3,LED,27999
720,1280,HD Ready,Hyundai,80.0,32,SMTHY32HDB52YW,2022,Yes,Android Based,2,2,LED,11490
2160,3840,Ultra HD (4K),Mi,138.8,55,L55M6-EQG,2020,Yes,Android,2,3,QLED,59999
2160,3840,Ultra HD (4K),LG,139.0,55,OLED55G2PSA,2022,Yes,WebOS,3,4,OLED,139990
2160,3840,Ultra HD (4K),smart,127.0,50,50INSMART-0,2022,Yes,Not Specified,2,2,LED,27899
1080,1920,Full HD,VG,108.0,43,VG43FCB1SYHZ44E,2022,Yes,Android Based,2,2,LED,19490
